nom_de_l_etablissment,ips_voie_pro,type_de_lycee,secteur,uai,ips_ensemble_gt_pro,code_du_departement,rentree_scolaire,code_insee_de_la_commune,academie,departement,nom_de_la_commune,ips_voie_gt,ecart_type_de_l_ips_voie_pro,ecart_type_de_l_ips_voie_gt
LYCEE PROFESSIONNEL LE CHAMP DE CLAYE LYCEE DES METIERS DE L ENERGIE,87.4,LP,public,0771995A,87.4,77,2018-2019,77118,CRETEIL,SEINE-ET-MARNE,CLAYE SOUILLY,,,
LYCEE GENERAL ET TECHNOLOGIQUE GALILEE,,LEGT,public,0772127U,115.6,77,2018-2019,77122,CRETEIL,SEINE-ET-MARNE,COMBS LA VILLE,115.6,,
LYCEE PROFESSIONNEL PRIVE LES SINOPLIES,114.2,LP,privé sous contrat,0772151V,114.2,77,2018-2019,77390,CRETEIL,SEINE-ET-MARNE,ROISSY EN BRIE,,,
LYCEE GENERAL ET TECHNOLOGIQUE PIERRE MENDES FRANCE,,LEGT,public,0772188K,99.4,77,2018-2019,77445,CRETEIL,SEINE-ET-MARNE,SAVIGNY LE TEMPLE,99.4,,
LYCEE POLYVALENT MARTIN LUTHER KING,,LEGT,public,0772292Y,121.3,77,2018-2019,77058,CRETEIL,SEINE-ET-MARNE,BUSSY SAINT GEORGES,121.3,,
LYCEE POLYVALENT LA TOUR DES DAMES,95.7,LPO,public,0772295B,113.0,77,2018-2019,77393,CRETEIL,SEINE-ET-MARNE,ROZAY EN BRIE,117.2,,
LYCEE POLYVALENT CLEMENT ADER,89.9,LPO,public,0772342C,108.4,77,2018-2019,77470,CRETEIL,SEINE-ET-MARNE,TOURNAN EN BRIE,120.4,,
LYCEE PRIVE SAINTE CELINE,,LEGT,privé sous contrat,0772602K,134.4,77,2018-2019,77183,CRETEIL,SEINE-ET-MARNE,LA FERTE SOUS JOUARRE,134.4,,
LYCEE GENERAL ET TECHNOLOGIQUE SAMUEL BECKETT,,LEGT,public,0772685A,106.3,77,2018-2019,77183,CRETEIL,SEINE-ET-MARNE,LA FERTE SOUS JOUARRE,106.3,,
LYCEE POLYVALENT EMILIE DU CHATELET LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION,99.1,LPO,public,0772688D,123.3,77,2018-2019,77449,CRETEIL,SEINE-ET-MARNE,SERRIS,126.0,,
LYCEE GENERAL INTERNAT D EXCELLENCE DE SOURDUN,,LEGT,public,0772737G,94.1,77,2018-2019,77459,CRETEIL,SEINE-ET-MARNE,SOURDUN,94.1,,
LYCEE PROFESSIONNEL LOUIS BLERIOT LYCEE DES METIERS DES SERVICES AUX ENTREPRISES AUX COLLECTIVITES ET AUX PERSONNES,88.8,LP,public,0780273Y,88.8,78,2018-2019,78621,VERSAILLES,YVELINES,TRAPPES,,,
LYCEE PROFESSIONNEL HENRI MATISSE LYCEE DES METIERS DE LA PETITE ENFANCE ET DES SOINS A LA PERSONNE ET DU COMMERCE,81.9,LP,public,0780584L,81.9,78,2018-2019,78621,VERSAILLES,YVELINES,TRAPPES,,,
LYCEE GENERAL ET TECHNOLOGIQUE DESCARTES,,LEGT,public,0781512V,140.9,78,2018-2019,78423,VERSAILLES,YVELINES,MONTIGNY LE BRETONNEUX,140.9,,
LYCEE POLYVALENT DUMONT D URVILLE,89.8,LPO,public,0781883Y,105.6,78,2018-2019,78383,VERSAILLES,YVELINES,MAUREPAS,110.2,,
LYCEE POLYVALENT SEDAR SENGHOR,90.9,LPO,public,0781951X,105.6,78,2018-2019,78354,VERSAILLES,YVELINES,MAGNANVILLE,110.1,,
LYCEE GENERAL ET TECHNOLOGIQUE JEANNE D ALBRET,,LEGT,public,0782132U,139.8,78,2018-2019,78551,VERSAILLES,YVELINES,SAINT GERMAIN EN LAYE,139.8,,
LYCEE POLYVALENT VIOLLET LE DUC LYCEE DES METIERS DE L HABITAT ET DU DEVELOPPEMENT DURABLE,104.6,LPO,public,0782587N,124.0,78,2018-2019,78683,VERSAILLES,YVELINES,VILLIERS SAINT FREDERIC,136.2,,
LYCEE POLYVALENT PIERRE CORNEILLE LYCEE DES METIERS DE LA VENTE ET DES SERVICES AUX ENTREPRISES,93.0,LPO,public,0782822U,128.9,78,2018-2019,78126,VERSAILLES,YVELINES,LA CELLE SAINT CLOUD,136.9,,
LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT EREMBERT,,LEGT,privé sous contrat,0783286Y,150.7,78,2018-2019,78551,VERSAILLES,YVELINES,SAINT GERMAIN EN LAYE,150.7,,
LYCEE TECHNOLOGIQUE PRIVE SAINT THOMAS DE VILLENEUVE,,LEGT,privé sous contrat,0783323N,139.2,78,2018-2019,78551,VERSAILLES,YVELINES,SAINT GERMAIN EN LAYE,139.2,,
LYCEE PROFESSIONNEL PRIVE ROULLEAU,89.8,LP,privé sous contrat,0783330W,89.8,78,2018-2019,78401,VERSAILLES,YVELINES,MEULAN EN YVELINES,,,
